"","siteid","long","lat","noAnalog","timeArrow","pastComp","presentComp","noAnalogWhich","timeArrowWhich","pastCompWhich","presentCompWhich","pastSamples","presentSamples","fig3Number","PC1","PC2","PC3","PC4"
"98242","9871",-93.212992,44.333012,0.0397936230694094,0.0415242389114197,0.0465755823921482,0.025990620792134,"9824","9876","9876","9873",6,8,"",-2.06291607825781,0.0671346043143111,0.289838447858781,-0.119687827951193
"98241","9870",-94.094046,45.16118,0.0520806612581633,0.0511331691311811,0.0261149652206672,0.029316329097128,"9824","9826","9867","9876",7,7,"",-2.10597403950009,0.407895568138622,-0.277103807177527,0.130969830244105
"9867","9824",-93.641746,44.192116,0.059567298346069,0.0397936230694094,0.0317942467209794,0.038442900387913,"9867","9871","9867","9871",6,10,"",-1.88274064970953,0.151359457402635,-0.143398391174184,0.405556600404805
"98246","9876",-94.07615,45.42133,0.0407200488781541,0.0633544575152726,0.0465755823921482,0.029316329097128,"9824","9876","9871","9870",6,10,"",-1.79656471680317,0.215763739043571,0.0407934461592115,-0.363261938461671
"98244","9873",-93.46048,44.65102,0.0511338225390483,0.0598461857705586,0.0629045773970409,0.025990620792134,"9824","9876","9870","9871",7,7,"",-1.60582480272946,0.327945261140273,0.391967029832736,-0.294800031524906
"9825","9825",-93.367772,44.353702,0.045419046770441,0.045419046770441,0.066003133380782,0.0476962956683308,"9825","9825","9873","9872",6,9,"",-1.40594094710672,-0.275697541845444,0.216957829447985,-0.0410872446601282
"9824","9867",-93.321848,44.692808,0.0640723877487229,0.059567298346069,0.0261149652206672,0.0821656981360382,"9824","9824","9870","9869",6,9,"",-1.33350726787613,-0.0410632935485757,-0.875965370154117,0.444400933684365
"98243","9872",-93.666674,44.229034,0.0939908151861359,0.0599961561123013,0.0495581371229217,0.0302371002657122,"9824","9826","9870","9870",4,9,"",-1.35873107739875,0.687355353193386,0.199129575203897,0.243374737003095
"10412","10412",-92.0406,46.11894,0.0508807721213731,0.0508807721213731,0.0697213526111551,0.0819161753636895,"10412","10412","27245","10240",13,14,"",-0.94778708293241,-0.51135281860242,-0.0716867397355006,0.0877469195325857
"98245","9875",-93.914954,44.313454,0.0661321525423357,0.0927579691709449,0.0471020121353318,0.0542953277263127,"9824","9826","9688","9870",6,9,"",-1.02596257092715,0.324608374724634,-0.395362845113571,-0.140837856019229
"9871","9688",-94.879268,45.198736,0.0699014786294176,0.0753927989773186,0.0471020121353318,0.0684314014217334,"9871","9871","9875","9876",7,5,"",-0.95644324137832,0.105121444946393,-0.418888482608867,0.107962074644957
"22312","531",-91.475,45.275,0.0371364507771233,0.0852237387536555,0.0709214855539676,0.0696978592145217,"2231","531","1593","1593",8,8,"",-0.953869036352343,-0.347568932707398,-0.240089822761203,-0.536342976415324
"2231","1593",-91.48333,45.28333,0.0644212346024376,0.0702517948453457,0.0709214855539676,0.0696978592145217,"2231","531","531","531",7,10,"",-0.776729817141542,-0.0996317845114872,-0.0854210384970581,-0.0234959427597772
"22311","2231",-91.45833,45.28333,0.0874057356781992,0.0371364507771233,0.0745280548036504,0.086822221210135,"2231","531","1593","13348",8,28,"",-0.74537303010729,-0.374916325226537,0.154399398900362,0.673989789359086
"27245","27245",-91.701074,46.38043,0.0658802212507696,0.0658802212507696,0.0697213526111551,0.0859201748256626,"27245","27245","10412","10412",9,13,"",-0.678653722845689,-0.250238522155628,-0.183084303107455,0.100118833070411
"9953","9953",-95.478928,45.891414,0.0539342766468873,0.0539342766468873,0.121046249086952,0.0699013745329241,"9953","9953","7531","7540",96,101,"",-0.652476395841973,-0.488873208714318,0.446877131628297,-0.137123263983434
