"","siteid","long","lat","noAnalog","timeArrow","pastComp","presentComp","noAnalogWhich","timeArrowWhich","pastCompWhich","presentCompWhich","fig3Number"
"98673","9871",-93.212992,44.333012,0.0458785350771989,0.0518553625121828,0.0558080109748757,0.0581138823333429,"9867","9871","9874","9873",""
"98672","9870",-94.094046,45.16118,0.081583417812499,0.0573215413617518,0.0413465760886362,0.0594808540515774,"9867","9826","9873","9872",""
"98674","9873",-93.46048,44.65102,0.0730184410843182,0.0746485587252799,0.0413465760886362,0.0581138823333429,"9867","9871","9870","9871",""
"98675","9874",-93.935746,44.807836,0.0531699157813797,0.0980219390296221,0.0480480690062917,0.050782902098812,"9867","9875","9688","9875",""
"98251","9875",-93.914954,44.313454,0.0472056928701139,0.0907671723390062,0.0628016850905685,0.050782902098812,"9825","9826","9874","9874",""
"98711","9825",-93.367772,44.353702,0.082033947914827,0.0472056928701139,0.0641216428244821,0.0654108562411184,"9871","9875","9870","9824",""
"9871","9688",-94.879268,45.198736,0.0669754762812448,0.0840779165411733,0.0480480690062917,0.0611446472754226,"9871","9869","9874","9874",""
"9867","9824",-93.641746,44.192116,0.0768833285543057,0.0742468722390664,0.0556977684931365,0.0604501642217828,"9867","9875","9874","9871",""
"98671","9867",-93.321848,44.692808,0.0812862695207017,0.0458785350771989,0.074633864419024,0.0684632571351638,"9867","9871","9824","9871",""
"9876","9876",-94.07615,45.42133,0.0746887682362618,0.0746887682362618,0.0622304275188137,0.0639188733238645,"9876","9876","9874","9871",""
"13349","13349",-92.2734,45.9006,0.0701167166719598,0.0701167166719598,0.0848507652211279,0.055078209225888,"13349","13349","13348","9768",""
"97681","9768",-92.219194,45.786366,0.0822986061939537,0.0822986061939537,0.0864270235361302,0.055078209225888,"9768","9768","10240","13349",""
"1598","1598",-91.113124,48.14179,0.0515042446428317,0.0515042446428317,0.122626240473795,0.0903318587420973,"1598","1598","318","318",""
"9825","9872",-93.666674,44.229034,0.10637047092978,0.0809682652969926,0.0728834723864951,0.0594808540515774,"9825","9875","9875","9870",""
"272452","27245",-91.701074,46.38043,0.0761877427200847,0.0761877427200847,0.0851662311853156,0.105389930575405,"27245","27245","8572","10240",""
"9768","13348",-92.3654,45.9316,0.0891202137248935,0.09577514829009,0.0848507652211279,0.074333253465317,"9768","13348","13349","9768",""
"9870","9826",-93.740124,45.14107,0.0573215413617518,0.0813856128556438,0.132575176603954,0.0731357762577992,"9870","9869","9875","9688",""
"10240","10240",-92.126,46.0128,0.0817497236875589,0.0817497236875589,0.0864270235361302,0.105389930575405,"10240","10240","9768","27245",""
"9869","9869",-94.474636,43.606022,0.0790070862615556,0.0790070862615556,0.119167468423753,0.0841569256095478,"9869","9869","9688","9826",""
"22312","531",-91.475,45.275,0.0737147853739041,0.111382222955788,0.106357464513392,0.0747035559668571,"2231","531","1593","1593",""
"1772","1772",-94.408428,46.341438,0.0897987559121544,0.0897987559121544,0.0953994795120783,0.0971996853483761,"1772","1772","1771","2786",""
"10132","10132",-95.273974,47.226802,0.0904856046603984,0.0904856046603984,0.115392308662445,0.0977564408083216,"10132","10132","1901","1901",""
"8572","8572",-91.4942,46.3812,0.104115490160489,0.098321776442335,0.0851662311853156,0.108213307680304,"8572","8567","27245","27245",""
"27862","1771",-93.68,46.06833,0.103056423951155,0.111108865931196,0.0953994795120783,0.0887237286465666,"2786","1771","1772","2786",""
"8567","8567",-91.1662,46.30222,0.0792795410003866,0.0792795410003866,0.128805575250436,0.11661181100655,"8567","8567","8572","8572",""
"9953","9953",-95.478928,45.891414,0.0720797334098148,0.0720797334098148,0.144859095700497,0.116081955465621,"9953","9953","7531","7540",""
"15981","318",-91.99472,47.92417,0.105560604133468,0.0962394158397475,0.116839315453106,0.0903318587420973,"1598","1815","2293","1598",""
"85731","8573",-90.6084,45.19114,0.0683647686153236,0.0683647686153236,0.140038232525082,0.136423757488999,"8573","8573","2937","8567",""
"1815","1815",-92.011594,48.098118,0.0919678737380959,0.0919678737380959,0.126055693856642,0.103899526644114,"1815","1815","2293","2293",""
"22311","2231",-91.45833,45.28333,0.108004773087085,0.0737147853739041,0.124672256373509,0.110684102952323,"2231","531","1593","531",""
"10412","10412",-92.0406,46.11894,0.0902397478669938,0.0902397478669938,0.124552914152515,0.112531323477247,"10412","10412","27245","10240",""
"10146","10146",-94.670324,46.953096,0.0814443225440647,0.0814443225440647,0.123589905705466,0.133603998194756,"10146","10146","10132","1598",""
"1729","1729",-93.386654,47.981836,0.092507202595034,0.092507202595034,0.114018714436255,0.122534752702281,"1729","1729","2293","2293",""
"2231","1593",-91.48333,45.28333,0.102188468249112,0.138482638081928,0.106357464513392,0.0747035559668571,"2231","531","531","531",""
"318","2293",-91.86667,47.91667,0.100784192699896,0.11412613790512,0.114018714436255,0.101559635964008,"318","1815","1729","318",""
"11606","11606",-94.682444,46.972092,0.111795879404083,0.111795879404083,0.121465710385278,0.0862865470821078,"11606","11606","10132","292",""
"7534","10156",-93.559052,44.98797,0.0887130500801954,0.117780471075481,0.110197684343082,0.114968709718976,"7534","2235","2933","307",""
"101461","1901",-94.1142,47.0798,0.132653445388958,0.118340366874414,0.0952073272722533,0.0956525948943942,"10146","11606","274","292",""
"2741","274",-93.66667,47.13333,0.127847638988021,0.127847638988021,0.0952073272722533,0.100022956988186,"274","274","1901","1119",""
"10352","10352",-91.198582,46.307116,0.113140107537586,0.113140107537586,0.106416157106928,0.121853895718902,"10352","10352","1901","8567",""
"2235","2235",-93.859794,44.870322,0.0877211273598716,0.0877211273598716,0.161215347261189,0.1239744775112,"2235","2235","10156","307",""
"30327","30327",-90.55597,46.92654,0.0946963848035552,0.0946963848035552,0.152715502115187,0.119984563763543,"30327","30327","2937","8567",""
"1701","1701",-95.00834,47.243982,0.11409373551655,0.11409373551655,0.131547740585612,0.103117470091425,"1701","1701","1772","1771",""
"2921","292",-95.16281,47.1774,0.147626475659018,0.100999044654806,0.128811391669339,0.0862865470821078,"292","10211","10211","11606",""
"269","269",-94.55197,46.270324,0.115646855633397,0.113668843546358,0.125587695418839,0.114903068975597,"269","1772","1772","1772",""
"75401","7540",-95.46186,45.85698,0.15638354210759,0.117704210973788,0.110054941142893,0.0898294354728047,"7540","7538","7539","7538",""
"292","10211",-95.39968,47.683194,0.100999044654806,0.132645577218807,0.126238040542913,0.114606415330495,"292","10211","274","292",""
"1991","1991",-95.575,46.92222,0.0950489008416949,0.0950489008416949,0.142753997219775,0.142100124145474,"1991","1991","2548","1901",""
"7540","7538",-95.5546,45.8003,0.117704210973788,0.154004376777134,0.113749461746267,0.0898294354728047,"7540","7538","7540","7540",""
"2849","2849",-91.66,47.47167,0.089399310515546,0.089399310515546,0.147777284156988,0.157780661089723,"2849","2849","1729","1729",""
"27863","2786",-93.16778,45.84889,0.14272859976178,0.103056423951155,0.150008626024101,0.0887237286465666,"2786","1771","1771","1771",""
"75346","307",-93.547946,44.95588,0.116138364785526,0.128040584436567,0.135982362284111,0.114968709718976,"7534","2235","10156","10156",""
"75422","7542",-95.34356,45.81656,0.129581754088231,0.121799536661003,0.14205067842695,0.103230749648326,"7542","9762","7541","9762",""
"1548","1548",-93.16014,44.79964,0.117092520463915,0.117092520463915,0.139587853060141,0.123130155056299,"1548","1548","799","1483",""
"1827","1721",-94.756512,46.858288,0.13609256740298,0.12991032283357,0.12848062837264,0.107116693186475,"1827","10132","10132","10132",""
"18271","1827",-95.31667,46.96667,0.126665814957007,0.126665814957007,0.147022089180353,0.111841458056735,"1827","1827","2851","1721",""
"27245","1078",-94.13333,46.55,0.143460584395563,0.101203304600939,0.145878886997602,0.125139298522342,"27245","10132","1901","10132",""
"75349","799",-93.165416,44.757618,0.140352427633794,0.167302525457093,0.132772474435937,0.0770199585611415,"7534","1548","10156","2557",""
"26673","26673",-92.066748,46.732492,0.0883376230865103,0.0883376230865103,0.16863754521654,0.175483305521283,"26673","26673","1815","10412",""
"25501","2550",-96.093656,47.194632,0.116244054851727,0.116244054851727,0.124393509746716,0.164237276299977,"2550","2550","7541","1991",""
"272451","1128",-92.71694,46.41694,0.132705983217661,0.137813573230246,0.135421879719977,0.117926422260486,"27245","1128","27245","1901",""
"75348","7539",-95.26402,46.0551,0.149366585814877,0.165786091969958,0.110054941142893,0.100281747954572,"7534","7539","7540","7540",""
"18272","2851",-94.95,46.95,0.137453011254043,0.131574301659678,0.129132953345769,0.127615255306909,"1827","10132","10132","1701",""
"75423","9762",-95.272972,45.443186,0.121799536661003,0.152993279743459,0.149268204755333,0.103230749648326,"7542","9762","7542","7542",""
