"","taxa","count","family","genus","species"
"9576","Poaceae",247031,"Poaceae","",""
"4244","Cyperaceae",240143,"Cyperaceae","",""
"1523","Betula",213994,"Betulaceae","Betula",""
"1079","Artemisia",187234,"Asteraceae","Artemisia",""
"9285","Pinus",173685,"Pinaceae","Pinus",""
"10397","Quercus",171112,"Fagaceae","Quercus",""
"432","Alnus",168680,"Betulaceae","Alnus",""
"11029","Salix",164513,"Salicaceae","Salix",""
"12754","Ulmus",157227,"Ulmaceae","Ulmus",""
"3932","Corylus",126125,"Betulaceae","Corylus",""
"521","Amaranthaceae",124963,"Amaranthaceae","",""
"9212","Picea",116949,"Pinaceae","Picea",""
"11869","Sphagnum",99380,"Sphagnaceae","Sphagnum",""
"11095","Sample quantity",97858,NA,NA,NA
"852","Apiaceae",95456,"Apiaceae","",""
"12366","Tilia",91431,"Malvaceae","Tilia",""
"6706","Indeterminable",87408,NA,NA,NA
"7562","Lycopodium spike",85217,"Lycopodiaceae","Lycopodium",""
"9","Abies",84062,"Pinaceae","Abies",""
"3473","Cichorioideae",83940,"Asteraceae","",""
"7564","Lycopodium tablets",81438,"Lycopodiaceae","Lycopodium",""
"5503","Fagus",79735,"Fagaceae","Fagus",""
"12780","Unknown",67463,NA,NA,NA
"5642","Fraxinus",63618,"Oleaceae","Fraxinus",""
"5568","Filipendula",63342,"Rosaceae","Filipendula",""
"12298","Thalictrum",62449,"Ranunculaceae","Thalictrum",""
"1782","Brassicaceae",61861,"Brassicaceae","",""
"1243","Asteroideae",58008,"Asteraceae","",""
"6893","Juniperus",57837,"Cupressaceae","Juniperus",""
"4964","Ericaceae",56369,"Ericaceae","",""
"2203","Caryophyllaceae",53197,"Caryophyllaceae","",""
"10783","Rosaceae",50822,"Rosaceae","",""
"10894","Rumex",49761,"Polygonaceae","Rumex",""
"87","Acer",48741,"Sapindaceae","Acer",""
"4928","Equisetum",44288,"Equisetaceae","Equisetum",""
"9965","Populus",44068,"Salicaceae","Populus",""
"8923","Pediastrum",43525,NA,NA,NA
"10282","Pteridium",42704,"Dennstaedtiaceae","Pteridium",""
"10479","Ranunculaceae",42657,"Ranunculaceae","",""
"1263","Asteroideae undiff.",41193,"Asteraceae","",""
"10827","Rubiaceae",38516,"Rubiaceae","",""
"9384","Pinus undiff.",38510,"Pinaceae","Pinus",""
"9475","Plantago lanceolata",35756,"Plantaginaceae","Plantago","lanceolata"
"3935","Corylus avellana",35288,"Betulaceae","Corylus","avellana"
"3377","Charcoal",35040,NA,NA,NA
"10000","Potamogeton",34118,"Potamogetonaceae","Potamogeton",""
"9807","Polypodiaceae",33295,"Polypodiaceae","",""
"11880","Spike",32659,NA,NA,NA
"2169","Carpinus",30941,"Betulaceae","Carpinus",""
"2002","Calluna vulgaris",30912,"Ericaceae","Calluna","vulgaris"
"9922","Polypodium",30539,"Polypodiaceae","Polypodium",""
"7085","Larix",30387,"Pinaceae","Larix",""
"13491","Varia",29853,NA,NA,NA
"8743","Ostrya/Carpinus",29354,"Betulaceae",NA,""
"9438","Plantago",28739,"Plantaginaceae","Plantago",""
"9656","Poaceae undiff.",28729,"Poaceae","",""
"4107","Cupressaceae",28674,"Cupressaceae","",""
"544","Ambrosia",28249,"Asteraceae","Ambrosia",""
"12898","Unknown (monolete)",26618,NA,NA,NA
"1749","Botryococcus",26598,NA,NA,NA
"10283","Pteridium aquilinum",26431,"Dennstaedtiaceae","Pteridium","aquilinum"
"9868","Polypodiophyta (monolete)",26369,NA,NA,NA
"8278","Myrica",26358,"Myricaceae","Myrica",""
"2192","Carya",26325,"Juglandaceae","Carya",""
"13358","Urtica",25758,"Urticaceae","Urtica",""
"5397","Fabaceae",25755,"Fabaceae","",""
"9365","Pinus subg. Pinus",25598,"Pinaceae","Pinus",""
"4705","Dryopteris-type",24869,"Dryopteridaceae","Dryopteris",""
"5655","Fraxinus excelsior",24867,"Oleaceae","Fraxinus","excelsior"
"10806","Rosaceae undiff.",24547,"Rosaceae","",""
"12986","Unknown (trilete)",24536,NA,NA,NA
"1205","Asteraceae",23821,"Asteraceae","",""
"8508","Nymphaea",23458,"Nymphaeaceae","Nymphaea",""
"2001","Calluna",23077,"Ericaceae","Calluna",""
"2172","Carpinus betulus",23031,"Betulaceae","Carpinus","betulus"
"12666","Tsuga",22810,"Pinaceae","Tsuga",""
"6798","Isoëtes",22715,"Isoetaceae","Isoetes",""
"4268","Cyperaceae undiff.",21440,"Cyperaceae","",""
"7040","Lamiaceae",21327,"Lamiaceae","",""
"9370","Pinus subg. Strobus",20977,"Pinaceae","Pinus",""
"12709","Typha latifolia",20696,"Typhaceae","Typha","latifolia"
"9612","Poaceae (Cerealia-type)",20234,"Poaceae","",""
"6857","Juglans",20021,"Juglandaceae","Juglans",""
"1237","Asteraceae undiff.",20005,"Asteraceae","",""
"10032","Potentilla-type",19947,"Rosaceae","Potentilla",""
"6333","Helianthemum",19405,"Cistaceae","Helianthemum",""
"10898","Rumex acetosa-type",19279,"Polygonaceae","Rumex","acetosa"
"8297","Myriophyllum",19146,"Haloragaceae","Myriophyllum",""
"6310","Hedera",18393,"Araliaceae","Hedera",""
"549","Ambrosia-type",18105,"Asteraceae","Ambrosia",""
"9476","Plantago lanceolata-type",17939,"Plantaginaceae","Plantago","lanceolata"
"10445","Quercus robur-type",17781,"Fagaceae","Quercus","robur"
"11730","Sparganium-type",17478,"Typhaceae","Sparganium",""
"9214","Picea abies",17445,"Pinaceae","Picea","abies"
"8490","Nuphar",16820,"Nymphaeaceae","Nuphar",""
"10499","Ranunculus acris-type",16669,"Ranunculaceae","Ranunculus","acris"
"5091","Eucalyptus spike",16612,"Myrtaceae","Eucalyptus",""
"5930","Galium-type",16570,"Rubiaceae","Galium",""
"5510","Fagus sylvatica",16218,"Fagaceae","Fagus","sylvatica"
"9378","Pinus sylvestris",15849,"Pinaceae","Pinus","sylvestris"
"12694","Typha",15845,"Typhaceae","Typha",""
"6677","Ilex",15824,"Aquifoliaceae","Ilex",""
"9620","Poaceae (Cerealia)",15760,"Poaceae","",""
"13632","Vitis",15180,"Vitaceae","Vitis",""
"113","Acer saccharum",14693,"Sapindaceae","Acer","saccharum"
"448","Alnus glutinosa-type",14402,"Betulaceae","Alnus","glutinosa"
"9379","Pinus sylvestris-type",14099,"Pinaceae","Pinus","sylvestris"
"536","Amaranthaceae undiff.",13545,"Amaranthaceae","",""
"11714","Sparganium",13517,"Typhaceae","Sparganium",""
"7530","Lycopodium annotinum",13225,"Lycopodiaceae","Lycopodium","annotinum"
"2251","Castanea",13217,"Fagaceae","Castanea",""
"9521","Platanus",13197,"Platanaceae","Platanus",""
"874","Apiaceae undiff.",13161,"Apiaceae","",""
"11337","Scrophulariaceae",13104,"Scrophulariaceae","",""
"8722","Osmunda",12891,"Osmundaceae","Osmunda",""
"7527","Lycopodium",12867,"Lycopodiaceae","Lycopodium",""
"9667","Podocarpus",12820,"Podocarpaceae","Podocarpus",""
"8576","Olea",12723,"Oleaceae","Olea",""
"9835","Polypodiophyta",12577,NA,NA,NA
"4991","Ericales",12440,"","",""
"463","Alnus viridis",12328,"Betulaceae","Alnus","alnobetula"
"7867","Melampyrum",12095,"Orobanchaceae","Melampyrum",""
"2332","Celtis",11908,"Cannabaceae","Celtis",""
"10491","Ranunculaceae undiff.",11750,"Ranunculaceae","",""
"7266","Liliaceae",11657,"Liliaceae","",""
"10","Abies alba",11590,"Pinaceae","Abies","alba"
"1201","Aster-type",11390,"Asteraceae","Aster",""
"6523","Humulus/Cannabis",11039,"Cannabaceae",NA,""
"10494","Ranunculus",11023,"Ranunculaceae","Ranunculus",""
"6907","Juniperus-type",10809,"Cupressaceae","Juniperus",""
"12216","Taxus",10745,"Taxaceae","Taxus",""
"4870","Ephedra",10742,"Ephedraceae","Ephedra",""
"1733","Botrychium",10729,"Ophioglossaceae","Botrychium",""
"10022","Potentilla",10555,"Rosaceae","Potentilla",""
"9869","Polypodiophyta (monolete) undiff.",10450,NA,NA,NA
"5093","Eucalyptus tablets",10381,"Myrtaceae","Eucalyptus",""
"5656","Fraxinus excelsior-type",10371,"Oleaceae","Fraxinus","excelsior"
"11368","Secale",10164,"Poaceae","Secale",""
"5922","Galium",10001,"Rubiaceae","Galium",""
"2056","Campanulaceae",9954,"Campanulaceae","",""
"13377","Urticaceae",9847,"Urticaceae","",""
"10428","Quercus ilex-type",9501,"Fagaceae","Quercus","ilex"
"447","Alnus glutinosa",9456,"Betulaceae","Alnus","glutinosa"
"9306","Pinus cembra",9395,"Pinaceae","Pinus","cembra"
"109","Acer rubrum",9344,"Sapindaceae","Acer","rubrum"
"453","Alnus incana",9250,"Betulaceae","Alnus","incana"
