taxa,count,family,genus,species,corrected
Poaceae,247031,Poaceae,,,FALSE
Cyperaceae,240143,Cyperaceae,,,FALSE
Betula,213994,Betulaceae,Betula,,FALSE
Artemisia,187234,Asteraceae,Artemisia,,FALSE
Pinus,173685,Pinaceae,Pinus,,FALSE
Quercus,171112,Fagaceae,Quercus,,FALSE
Alnus,168680,Betulaceae,Alnus,,FALSE
Salix,164513,Salicaceae,Salix,,FALSE
Ulmus,157227,Ulmaceae,Ulmus,,FALSE
Corylus,126125,Betulaceae,Corylus,,FALSE
Amaranthaceae,124963,Amaranthaceae,,,FALSE
Picea,116949,Pinaceae,Picea,,FALSE
Sphagnum,99380,Sphagnaceae,Sphagnum,,FALSE
Sample quantity,97858,NA,NA,NA,FALSE
Apiaceae,95456,Apiaceae,,,FALSE
Tilia,91431,Malvaceae,Tilia,,FALSE
Indeterminable,87408,NA,NA,NA,FALSE
Lycopodium spike,85217,Lycopodiaceae,Lycopodium,,FALSE
Abies,84062,Pinaceae,Abies,,FALSE
Cichorioideae,83940,Asteraceae,,,FALSE
Lycopodium tablets,81438,Lycopodiaceae,Lycopodium,,FALSE
Fagus,79735,Fagaceae,Fagus,,FALSE
Unknown,67463,NA,NA,NA,FALSE
Fraxinus,63618,Oleaceae,Fraxinus,,FALSE
Filipendula,63342,Rosaceae,Filipendula,,FALSE
Thalictrum,62449,Ranunculaceae,Thalictrum,,FALSE
Brassicaceae,61861,Brassicaceae,,,FALSE
Asteroideae,58008,Asteraceae,,,FALSE
Juniperus,57837,Cupressaceae,Juniperus,,FALSE
Ericaceae,56369,Ericaceae,,,FALSE
Caryophyllaceae,53197,Caryophyllaceae,,,FALSE
Rosaceae,50822,Rosaceae,,,FALSE
Rumex,49761,Polygonaceae,Rumex,,FALSE
Acer,48741,Sapindaceae,Acer,,FALSE
Equisetum,44288,Equisetaceae,Equisetum,,FALSE
Populus,44068,Salicaceae,Populus,,FALSE
Pediastrum,43525,NA,NA,NA,FALSE
Pteridium,42704,Dennstaedtiaceae,Pteridium,,FALSE
Ranunculaceae,42657,Ranunculaceae,,,FALSE
Asteroideae undiff.,41193,Asteraceae,,,FALSE
Rubiaceae,38516,Rubiaceae,,,FALSE
Pinus undiff.,38510,Pinaceae,Pinus,,FALSE
Plantago lanceolata,35756,Plantaginaceae,Plantago,lanceolata,FALSE
Corylus avellana,35288,Betulaceae,Corylus,avellana,FALSE
Charcoal,35040,NA,NA,NA,FALSE
Potamogeton,34118,Potamogetonaceae,Potamogeton,,FALSE
Polypodiaceae,33295,Polypodiaceae,,,FALSE
Spike,32659,NA,NA,NA,FALSE
Carpinus,30941,Betulaceae,Carpinus,,FALSE
Calluna vulgaris,30912,Ericaceae,Calluna,vulgaris,FALSE
Polypodium,30539,Polypodiaceae,Polypodium,,FALSE
Larix,30387,Pinaceae,Larix,,FALSE
Varia,29853,NA,NA,NA,FALSE
Ostrya/Carpinus,29354,Betulaceae,NA,,FALSE
Plantago,28739,Plantaginaceae,Plantago,,FALSE
Poaceae undiff.,28729,Poaceae,,,FALSE
Cupressaceae,28674,Cupressaceae,,,FALSE
Ambrosia,28249,Asteraceae,Ambrosia,,FALSE
Unknown (monolete),26618,NA,NA,NA,FALSE
Botryococcus,26598,NA,NA,NA,FALSE
Pteridium aquilinum,26431,Dennstaedtiaceae,Pteridium,aquilinum,FALSE
Polypodiophyta (monolete),26369,NA,NA,NA,FALSE
Myrica,26358,Myricaceae,Myrica,,FALSE
Carya,26325,Juglandaceae,Carya,,FALSE
Urtica,25758,Urticaceae,Urtica,,FALSE
Fabaceae,25755,Fabaceae,,,FALSE
Pinus subg. Pinus,25598,Pinaceae,Pinus,NA,TRUE
Dryopteris-type,24869,NA,NA,NA,
